"ID_Reporte","Fecha_Emision","Fecha_Auditoria_Forense","Investigador_Responsable","Comite_Aprobador","Ensayo_Asociado","Sede","ID_Sujeto_Principal","Num_Sujetos_Declarados","Num_Sujetos_Real","Tasa_Exito_Declarada_Pct","Tasa_Exito_Real_Pct","Muertes_Reportadas","Muertes_Reales_Estimadas","Tipo_Alteracion_Principal","Num_Alteraciones_Detectadas","Clasificacion_Documento","Nivel_Riesgo_Fraude","Score_Fraude_0_100","Estado_Auditoria","Auditado_Por","Observaciones"
"RBF-00001","2019-03-04","2019-04-04","Dra. Spencer, A.","Junta Regulatoria Nemesis Div.","Estudio Plagas-Las Illuminadas","Laboratorio Remoto Dulvey","SUJ-8374","52","71","84.13","43.12","3","5","Manipulación de estadística de éxito","11","ULTRA SECRETO","Alto","6.6","Fraude confirmado","AUD-873","Sujeto registrado fallecido antes del ensayo."
"RBF-00002","2013-04-01","2013-12-05","Dra. Cortez, M.","Comité de Ética Médica T-Sector","Investigación Las Plagas Fase III","Raccoon City Hospital","SUJ-6153","15","16","84.54","56.38","2","4","Manipulación de estadística de éxito","3","RESTRINGIDO","Crítico","29.6","En revisión","AUD-690","Firmas no coinciden con fecha declarada."
"RBF-00003","2012-04-12","2013-09-12","Dra. Novak, H.","Comité Internacional de Bioética","Fase Miranda-Prime","NEST Underground","SUJ-7165","72","74","93.86","63.2","2","5","Falsificación de aprobación ética","10","ULTRA SECRETO","Alto","57.6","En revisión","AUD-323","Resultados estadísticos inconsistentes."
"RBF-00004","2020-04-25","2020-08-12","Dr. Mendoza, F.","Comité de Ética Médica T-Sector","Prueba NE-α","Raccoon City Hospital","SUJ-8250","61","65","77.75","52.27","3","4","Modificación de resultado post-mortem","12","CONFIDENCIAL","Alto","58.3","Archivado","AUD-670","Hash de documento no coincide con archivo original."
"RBF-00005","2015-01-31","2015-07-15","Dr. Mendoza, F.","Comité Internacional de Bioética","Ensayo Mold-E-Variant","Facility Salazar","SUJ-8531","21","24","81.91","53.19","3","7","Alteración de fechas de aplicación","17","USO INTERNO","Bajo","57.9","Fraude confirmado","AUD-937","Datos duplicados de ensayo anterior."
"RBF-00006","2014-09-30","2016-06-28","Dr. Mendoza, F.","Comité Internacional de Bioética","Proyecto Némesis","Centro de Investigación Kijuju","SUJ-1589","83","85","93.02","61.59","0","2","Falsificación de firma de consentimiento","9","RESTRINGIDO","Medio","27.9","Archivado","AUD-437","Consentimiento firmado bajo coerción."
"RBF-00007","2014-07-03","2015-03-21","Dra. Petrova, I.","Panel de Cumplimiento Viral","Fase Miranda-Prime","Satellite Lab B-17","SUJ-1538","75","93","93.41","49.59","3","12","Falsificación de grupo de control","2","ULTRA SECRETO","Medio","51.6","En revisión","AUD-356","Sujeto registrado fallecido antes del ensayo."
"RBF-00008","2013-07-25","2015-02-06","Dra. Vega, N.","Comité de Revisión Externe BSAA","Estudio Megamycete","Centro de Investigación Kijuju","SUJ-3897","75","84","82","46.54","0","4","Omisión de muerte no reportada","12","RESTRINGIDO","Medio","36.3","Pendiente","AUD-819","Resultados estadísticos inconsistentes."
"RBF-00009","2020-04-04","2022-03-31","Dra. Reyes, P.","Panel de Cumplimiento Viral","Fase Miranda-Prime","Mobile Unit Delta","SUJ-5965","24","30","83.94","31.2","0","11","Datos de control fabricados","6","RESTRINGIDO","Crítico","43.9","Archivado","AUD-753","Consentimiento firmado bajo coerción."
"RBF-00010","2013-02-23","2014-06-23","Dr. Chen, W.","Panel de Cumplimiento Viral","Ensayo RE-Cadou","Facility Salazar","SUJ-3689","3","14","79.89","63.21","0","6","Omisión de efectos adversos","13","ULTRA SECRETO","Alto","31.4","Escalado a fiscal","AUD-142","Hash de documento no coincide con archivo original."
"RBF-00011","2019-08-03","2019-09-11","Dr. Torres, C.","Comité Ético NEST-Arklay","Prueba NE-α","Spencer Estate Lab","SUJ-9052","22","29","96.25","61.13","0","8","Modificación de resultado post-mortem","15","ULTRA SECRETO","Alto","45.4","Escalado a fiscal","AUD-743","Protocolo no seguido, datos fabricados."
"RBF-00012","2020-04-21","2020-05-29","Dr. Chen, W.","Junta de Supervisión STARS","Ensayo RE-Cadou","Lab Urbano RC-04","SUJ-8056","53","57","75.08","36.71","1","2","Falsificación de aprobación ética","1","CONFIDENCIAL","Bajo","26.9","Pendiente","AUD-774","Testigo externo reporta irregularidades."
"RBF-00013","2022-01-02","2023-01-18","Dr. Birkin, W.","Comité de Revisión Umbrella Corp.","Fase Gamma-Licker","NEST Underground","SUJ-3203","2","14","96.28","44.47","2","10","Fabricación de consentimiento informado","8","USO INTERNO","Crítico","82.2","Fraude confirmado","AUD-407","Firmas no coinciden con fecha declarada."
"RBF-00014","2018-02-11","2018-07-14","Dra. Singh, A.","Panel Clínico Raccoon City","Fase C-Virus Alpha","NEST Underground","SUJ-6119","30","38","89.78","72.81","0","9","Supresión de muestra contaminada","12","USO INTERNO","Alto","42.3","Archivado","AUD-839","Datos duplicados de ensayo anterior."
"RBF-00015","2012-12-22","2014-03-29","Dr. Isaacs, S.","Junta de Supervisión STARS","Prueba NE-α","Satellite Lab B-17","SUJ-7374","38","41","85.82","47.88","2","7","Alteración de fechas de aplicación","12","ULTRA SECRETO","Medio","88.9","Pendiente","AUD-401","Consentimiento firmado bajo coerción."
"RBF-00016","2018-08-15","2019-01-27","Dra. Reed, L.","Panel de Cumplimiento Viral","Estudio Megamycete","Raccoon City Hospital","SUJ-8986","2","3","72.85","23.7","0","11","Falsificación de firma de consentimiento","1","USO INTERNO","Crítico","20.7","Archivado","AUD-741","Aprobación ética emitida retroactivamente."
"RBF-00017","2016-09-24","2018-02-25","Dr. Salazar, R.","Panel de Cumplimiento Viral","Ensayo RE-Cadou","Laboratorio Remoto Dulvey","SUJ-2792","64","68","84.37","59.69","2","7","Omisión de muerte no reportada","10","USO INTERNO","Alto","95.2","Escalado a fiscal","AUD-444","Protocolo no seguido, datos fabricados."
"RBF-00018","2012-05-10","2012-08-20","Dr. Wesker, A.","Panel de Cumplimiento Viral","Estudio Megamycete","Satellite Lab B-17","SUJ-9037","60","61","82.6","32.55","3","13","Supresión de reacción alérgica severa","11","ULTRA SECRETO","Bajo","67","Escalado a fiscal","AUD-118","Muestra biológica alterada post-análisis."
"RBF-00019","2012-05-02","2013-01-21","Dra. Okafor, B.","Panel Bioético Sector B","Estudio Plagas-Las Illuminadas","Spencer Estate Lab","SUJ-9837","21","38","76.19","60.43","3","5","Omisión de efectos adversos","3","USO INTERNO","Medio","44.9","En revisión","AUD-805","Hash de documento no coincide con archivo original."
"RBF-00020","2013-01-18","2014-03-16","Dra. Novak, H.","Comité Internacional de Bioética","Ensayo T-002","Arklay Mountain Lab","SUJ-8697","33","38","89.07","44.77","2","11","Falsificación de firma de consentimiento","14","ULTRA SECRETO","Alto","52.9","Archivado","AUD-338","Datos duplicados de ensayo anterior."
"RBF-00021","2014-06-14","2014-10-13","Dr. Yamamoto, K.","Panel Clínico Raccoon City","Protocolo Umbrella-X","Arklay Mountain Lab","SUJ-8797","76","86","97.25","44.93","0","8","Omisión de efectos adversos","6","ULTRA SECRETO","Medio","60.5","Escalado a fiscal","AUD-688","Firmas no coinciden con fecha declarada."
"RBF-00022","2014-08-10","2014-12-22","Dra. Petrova, I.","Panel Bioético Sector B","Ensayo RE-Cadou","Arklay Mountain Lab","SUJ-3560","58","67","86.62","45.33","1","4","Datos de control fabricados","9","RESTRINGIDO","Alto","72.3","Escalado a fiscal","AUD-663","Aprobación ética emitida retroactivamente."
"RBF-00023","2017-08-31","2018-01-13","Dr. Salazar, R.","Junta Regulatoria Nemesis Div.","Ensayo Mold-E-Variant","Spencer Estate Lab","SUJ-9301","22","22","90.58","58.02","2","6","Alteración de muestra de tejido","9","CONFIDENCIAL","Crítico","29.2","Archivado","AUD-508","Consentimiento firmado bajo coerción."
