ID_BOW,Numero_Protocolo,Empresa_Responsable,Nombre_Especimen,Investigador_Asignado,Sede_Contencion,Tipo_BOW,Cepa_Origen,Nivel_Peligro,Tipo_Contencion,Estado_Especimen,Unidades_Stock,Unidades_Activas,Unidades_Cuarentena,Unidades_Eliminadas,Peso_Promedio_kg,Altura_Promedio_m,Fecha_Creacion,Fecha_Ultimo_Reporte,Dias_En_Inventario,Comportamiento_Primario,Tasa_Mutacion_Pct,Estabilidad_Genetica_Pct,Tasa_Mortalidad_Contencion_Pct,Tasa_Fuga_Historica_Pct,Incidente_Fuga_Mas_Reciente,Bajas_Personal_Causadas,Tasa_Neutralizacion_Pct,Protocolo_Terminacion,Estado_Regulatorio,Aprobacion_Comite_Bioseguridad,Presupuesto_Mantenimiento_USD,Costo_Por_Unidad_USD,Estado_Publicacion_Interna,Clasificacion_Documental,Patentes_Bio_Aplicadas,Potencial_Armamento,Entorno_Operacion,Region_Geografica,Numero_Instalaciones,Socio_Externo_CRO,Puntuacion_Contencion,Incidentes_Protocolo,Cumplimiento_Bioseguridad_Pct,Tasa_Retencion_Especimenes_Pct,Tiempo_Desarrollo_Dias,Año_Creacion,Mes_Creacion,Trimestre_Creacion,Estado_Proyecto
BOW-2424-0001,UC-BOW-704-2018,Corporación Umbrella,Tyrant T-002,Dr. Oswell Spencer,Base Antártica Umbrella,Zombie,Cepa NE-α,NIVEL-5 Crítico,Jaula Biométrica,Fugado,2,2,0,7,589.9,3.6,2019-05-06,2019-12-30,238,Autónomo,25.1,77.3,27.1,22.3,Sin Registro,150,49.2,Sin Protocolo Asignado,Activo en Base de Datos,Rechazado,3595146,188389,No Publicado,SECRETO,3,Bajo,Subterráneo,América del Norte,7,Laboratorios Kendo,61.5,11,84.1,90.4,3078,2019,5,Q2,Suspendido
BOW-2139-0002,UC-BOW-146-2012,Industrias Uroboros,Super Tyrant,Dra. Elena Kravchenko,Base Antártica Umbrella,Hunter,Uroboros,NIVEL-3 Moderado,Cápsula de Gas Paralizante,Congelado Criónico,25,2,17,9,180.4,2.57,2017-01-10,2017-10-02,265,Reactivo Movimiento,79.6,21.6,34.5,14.4,Sin Registro,18,72.0,Protocolo Tyrant-Kill,En Revisión Comité,Rechazado,1420719,252357,Archivado TS,CONFIDENCIAL,8,Medio,Montañoso,Asia-Pacífico,1,BioResearch Corp.,89.3,10,76.0,53.3,2413,2017,1,Q1,En Revisión
BOW-8019-0003,UC-BOW-697-2017,WilPharma Corp.,Eliminador Mejorado,Dr. Albert Wesker,Base de Investigación Rockfort,Animal Mutado,Virus-G,NIVEL-1 Mínimo,Túnel Subterráneo Sellado,Cuarentena,32,25,7,4,173.1,1.98,2009-10-08,2013-06-21,1352,Reactivo Movimiento,28.8,68.7,22.5,6.6,2011-06-05 00:00:00,98,56.3,Gas VX-7,En Revisión Comité,Pendiente,4690795,461296,Clasificado Interno,ULTRA SECRETO,8,Bajo,Bunker Sellado,Oriente Medio,6,Laboratorios Kendo,57.6,5,78.1,97.7,3037,2009,10,Q4,En Revisión
BOW-7126-0004,UC-BOW-880-2010,Corporación Umbrella,G-Adulto Fase 1,Dr. William Birkin,Instalación Agricultora Sheena Island,Tyrant,Virus-G,NIVEL-3 Moderado,Túnel Subterráneo Sellado,En Pruebas,12,8,0,27,237.2,2.22,2016-03-24,2020-07-11,1570,Reactivo Calor,61.3,42.1,20.3,5.0,2011-12-03 00:00:00,124,86.3,Sin Protocolo Asignado,En Revisión Comité,Rechazado,1127025,355899,Archivado TS,SECRETO,4,En Evaluación,Bunker Sellado,América del Sur,7,BioResearch Corp.,95.7,6,88.5,69.9,2841,2016,3,Q1,En Revisión
BOW-1117-0005,UC-BOW-172-2006,Fundación Spencer,Tyrant Nemesis T-Type,Dr. Rodrigo Juan Raval,Mansión Spencer - Arklay,Experimental,Virus-G,NIVEL-5 Crítico,Celda Reforzada T-Metal,En Pruebas,29,3,7,7,555.0,2.14,2014-10-29,2017-10-02,1069,Semi-Controlado,10.8,84.4,22.2,14.7,2022-10-22 00:00:00,147,62.6,Sin Protocolo Asignado,Clasificado TS/SCI,Suspendido,1647274,59453,Clasificado Interno,RESERVADO,5,Uso Inmediato,Ártico,África Sub-Sahariana,12,Laboratorios Kendo,80.4,20,63.9,70.1,1479,2014,10,Q4,Activo
BOW-8260-0006,UC-BOW-927-2022,Blue Umbrella Ltda.,Tyrant T-103,Dra. Monica Stevens,Base de Investigación Rockfort,Tyrant,Virus-G,NIVEL-2 Bajo,Celda Reforzada T-Metal,Degradado,13,8,3,4,419.4,2.14,2010-07-30,2011-09-05,402,Autónomo,43.0,54.8,10.0,23.1,2013-09-10 00:00:00,97,30.1,Gas VX-7,Expediente Destruido,Suspendido,2442843,231777,Archivado TS,SECRETO,3,Bajo,Urbano,América del Norte,10,Classified Partner,43.7,10,62.3,79.2,2149,2010,7,Q3,Archivado
BOW-5033-0007,UC-BOW-692-2024,Corporación Umbrella,G-Adulto Fase 2,Dr. Oswell Spencer,Plataforma Offshore LIN-01,Experimental,Las Plagas,NIVEL-2 Bajo,Bóveda Magnética,Congelado Criónico,33,5,27,5,236.6,2.69,2008-07-13,2008-11-16,126,Reactivo Movimiento,11.2,84.5,34.5,10.1,2020-04-03 00:00:00,80,94.1,Protocolo NEMESIS,Activo en Base de Datos,Suspendido,4772732,62418,Clasificado Interno,SECRETO,8,Bajo,Urbano,Asia-Pacífico,2,BioResearch Corp.,62.2,5,77.5,77.2,1329,2008,7,Q3,Archivado
BOW-2753-0008,UC-BOW-860-2022,Laboratorios Veronica S.L.,Neptune (Tiburón),Dra. Alex Wesker,Laboratorio Subterráneo Antartica-B,Zombie,Virus-C,NIVEL-2 Bajo,Bóveda Magnética,En Pruebas,34,0,19,29,434.0,2.25,2023-02-07,2026-10-18,1349,No Responsivo,64.7,39.7,5.4,2.9,Sin Registro,108,87.2,Protocolo NEMESIS,Activo en Base de Datos,Pendiente,1147394,344030,No Publicado,SECRETO,7,En Evaluación,Montañoso,África Sub-Sahariana,9,Laboratorios Kendo,46.7,4,81.8,91.7,2475,2023,2,Q1,Archivado
BOW-4441-0009,UC-BOW-798-2012,Blue Umbrella Ltda.,Mosca Tse-Tse Mutante,Dr. Lance Hall,Base de Investigación Rockfort,Planta Mutada,Mutación Natural,NIVEL-6 EXTINCIÓN,Celda Reforzada T-Metal,Fugado,9,0,4,11,699.8,4.43,2008-04-28,2010-10-05,890,No Responsivo,85.9,17.1,34.4,22.5,Sin Registro,105,31.7,Crioablación,Expediente Destruido,Suspendido,2131777,149883,Restringido,ULTRA SECRETO,6,Alto,Bunker Sellado,África Sub-Sahariana,4,BioResearch Corp.,89.0,14,74.0,91.0,1022,2008,4,Q2,Cerrado
BOW-7548-0010,UC-BOW-795-2022,WilPharma Corp.,Tyrant T-002,Dr. Oswell Spencer,Laboratorio Móvil Contenedor BX-12,G-Type,T-Veronica,NIVEL-5 Crítico,Tanque Criogénico,Activo,13,6,5,8,140.2,2.8,2005-07-13,2009-04-04,1361,Reactivo Movimiento,82.8,21.9,11.2,16.0,2019-10-15 00:00:00,130,38.0,Explosivo C4 Interno,Archivado,Pendiente,422341,381607,Archivado TS,ULTRA SECRETO,8,En Evaluación,Montañoso,Oriente Medio,12,BioResearch Corp.,61.9,2,98.0,96.0,2642,2005,7,Q3,En Revisión
