ID_Transaccion,Fecha_Venta,Año,Mes,Trimestre,Producto,Categoria,Presentacion,Lote_ID,Fecha_Vencimiento,Proveedor,Ciudad,Region,Canal_Venta,Metodo_Pago,Estado_Pedido,Cantidad,Precio_Unitario_USD,Subtotal_USD,Descuento_Pct,Monto_Descuento_USD,Total_Neto_USD,IVA_19pct_USD,Total_Con_IVA_USD
TRX-000001,2022-01-01,2022,1,Q1,NecroCide Gel,Topico,Gel,LOTE-44002,2024-10-04,Paraguas Distribuciones,Mixcoatl,South,Farmacia Minorista,Transferencia,En tránsito,103,11.32,1165.96,0.0,0.0,1165.96,221.53,1387.49
TRX-000002,2022-01-01,2022,1,Q1,ThermoShield,Antipiretico,Jarabe,LOTE-98254,2024-10-29,WilPharma Corp,Arklay County,Midwest,Farmacia Minorista,Transferencia,Entregado,436,7.25,3161.0,0.0,0.0,3161.0,600.59,3761.59
TRX-000003,2022-01-01,2022,1,Q1,OsseoFlex,Oseo,Tableta,LOTE-13453,2023-04-27,Farmacéutica Arklay,Harvardville,East,Distribuidor,Cheque,Entregado,349,19.96,6966.04,0.0,0.0,6966.04,1323.55,8289.59
TRX-000004,2022-01-01,2022,1,Q1,ThermoShield,Antipiretico,Jarabe,LOTE-13506,2024-12-09,Civivan Laboratories,Tall Oaks,East,Clínica Privada,Efectivo,Cancelado,271,6.78,1837.38,0.15,275.61,1561.77,296.74,1858.51
TRX-000005,2022-01-01,2022,1,Q1,Adravil 400mg,Antiinflamatorio,Capsula,LOTE-40785,2024-02-26,Farmacéutica Arklay,Sheena Island,Pacific,Farmacia Minorista,Cheque,Entregado,107,6.76,723.32,0.0,0.0,723.32,137.43,860.75
TRX-000006,2022-01-02,2022,1,Q1,Adravil 400mg,Antiinflamatorio,Capsula,LOTE-79802,2024-08-02,Tricell Biomedical,Terragrigia,South,Online,Cheque,En tránsito,72,6.69,481.68,0.0,0.0,481.68,91.52,573.2
TRX-000007,2022-01-02,2022,1,Q1,ThermoShield,Antipiretico,Jarabe,LOTE-22520,2023-10-13,Paraguas Distribuciones,Raccoon City,Midwest,Farmacia Minorista,Cheque,Devuelto,189,6.79,1283.31,0.0,0.0,1283.31,243.83,1527.14
TRX-000008,2022-01-02,2022,1,Q1,Adravil 400mg,Antiinflamatorio,Capsula,LOTE-76772,2023-08-16,GenTech Medical,Tall Oaks,East,Hospital Público,Cheque,Entregado,21,6.33,132.93,0.1,13.29,119.64,22.73,142.37
TRX-000009,2022-01-02,2022,1,Q1,Adravil 400mg,Antiinflamatorio,Capsula,LOTE-12452,2023-12-10,BioHazard Supplies,Raccoon City,Midwest,Farmacia Minorista,Transferencia,Devuelto,103,6.82,702.46,0.1,70.25,632.21,120.12,752.33
TRX-000010,2022-01-03,2022,1,Q1,AntibioMax 500,Antibiotico,Capsula,LOTE-41910,2023-08-20,Civivan Laboratories,Raccoon City,Midwest,Farmacia Minorista,Débito,Cancelado,122,14.33,1748.26,0.0,0.0,1748.26,332.17,2080.43
TRX-000011,2022-01-03,2022,1,Q1,PlasmaTec,Plasma Sintetico,Inyectable,LOTE-64720,2024-12-21,Tricell Biomedical,Harvardville,East,Farmacia Minorista,Cheque,Entregado,467,120.13,56100.71,0.15,8415.11,47685.6,9060.26,56745.86
TRX-000012,2022-01-03,2022,1,Q1,Aspirina 500mg,Analgesico,Tableta,LOTE-49038,2023-06-22,Spencer Labs,Lanshiang,Asia,Distribuidor,Efectivo,Entregado,215,2.58,554.7,0.0,0.0,554.7,105.39,660.09
TRX-000013,2022-01-03,2022,1,Q1,Betaferon Plus,Inmunomodulador,Capsula,LOTE-81714,2024-05-29,Tricell Biomedical,Mixcoatl,South,Online,Transferencia,En tránsito,331,33.56,11108.36,0.0,0.0,11108.36,2110.59,13218.95
TRX-000014,2022-01-03,2022,1,Q1,Neurovita Complex,Suplemento,Ampolla,LOTE-58788,2024-03-22,Tricell Biomedical,Terragrigia,South,Distribuidor,Transferencia,Devuelto,459,13.54,6214.86,0.15,932.23,5282.63,1003.7,6286.33
TRX-000015,2022-01-04,2022,1,Q1,Neurovita Complex,Suplemento,Ampolla,LOTE-22147,2023-03-20,Civivan Laboratories,Tall Oaks,East,Farmacia Minorista,Efectivo,Entregado,88,15.24,1341.12,0.1,134.11,1207.01,229.33,1436.34
TRX-000016,2022-01-04,2022,1,Q1,PlasmaTec,Plasma Sintetico,Inyectable,LOTE-98802,2024-04-25,Spencer Labs,Raccoon City,Midwest,Online,Transferencia,Devuelto,373,136.9,51063.7,0.05,2553.18,48510.52,9217.0,57727.52
TRX-000017,2022-01-04,2022,1,Q1,AntibioMax 500,Antibiotico,Capsula,LOTE-14906,2024-07-20,BioHazard Supplies,Lanshiang,Asia,Farmacia Minorista,Débito,Entregado,100,14.42,1442.0,0.0,0.0,1442.0,273.98,1715.98
TRX-000018,2022-01-05,2022,1,Q1,CalmEase 10mg,Sedante,Tableta,LOTE-15836,2024-11-16,GenTech Medical,Tall Oaks,East,Hospital Público,Transferencia,Cancelado,360,9.09,3272.4,0.05,163.62,3108.78,590.67,3699.45
TRX-000019,2022-01-05,2022,1,Q1,Neurovita Complex,Suplemento,Ampolla,LOTE-26906,2023-01-17,WilPharma Corp,Tall Oaks,East,Clínica Privada,Débito,Cancelado,152,14.67,2229.84,0.0,0.0,2229.84,423.67,2653.51
TRX-000020,2022-01-06,2022,1,Q1,OsseoFlex,Oseo,Tableta,LOTE-18876,2024-01-15,Farmacéutica Arklay,Sheena Island,Pacific,Clínica Privada,Débito,Entregado,131,19.68,2578.08,0.1,257.81,2320.27,440.85,2761.12
TRX-000021,2022-01-06,2022,1,Q1,Adravil 400mg,Antiinflamatorio,Capsula,LOTE-75640,2024-07-26,Paraguas Distribuciones,Tall Oaks,East,Distribuidor,Crédito,Entregado,150,7.43,1114.5,0.0,0.0,1114.5,211.76,1326.26
TRX-000022,2022-01-06,2022,1,Q1,Adravil 200mg,Antiinflamatorio,Capsula,LOTE-30062,2023-03-16,Civivan Laboratories,Terragrigia,South,Distribuidor,Efectivo,Entregado,309,4.33,1337.97,0.0,0.0,1337.97,254.21,1592.18
TRX-000023,2022-01-06,2022,1,Q1,CellRegen,Regenerador,Ampolla,LOTE-49918,2023-09-08,Umbrella Pharma S.A.,Raccoon City,Midwest,Farmacia Minorista,Efectivo,Entregado,258,108.68,28039.44,0.0,0.0,28039.44,5327.49,33366.93
TRX-000024,2022-01-06,2022,1,Q1,Adravil 400mg,Antiinflamatorio,Capsula,LOTE-19935,2024-06-20,GenTech Medical,Mixcoatl,South,Hospital Público,Transferencia,En tránsito,344,6.33,2177.52,0.05,108.88,2068.64,393.04,2461.68
TRX-000025,2022-01-06,2022,1,Q1,Aspirina 1000mg,Analgesico,Tableta,LOTE-43138,2023-02-07,Umbrella Pharma S.A.,Arklay County,Midwest,Hospital Público,Débito,Entregado,492,3.62,1781.04,0.1,178.1,1602.94,304.56,1907.5
TRX-000026,2022-01-07,2022,1,Q1,Aspirina 500mg,Analgesico,Tableta,LOTE-13111,2023-12-13,Tricell Biomedical,Edonia,Europe,Farmacia Minorista,Efectivo,Entregado,414,2.73,1130.22,0.1,113.02,1017.2,193.27,1210.47
TRX-000027,2022-01-07,2022,1,Q1,NecroCide Gel,Topico,Gel,LOTE-81299,2024-04-14,GenTech Medical,Sheena Island,Pacific,Distribuidor,Efectivo,Entregado,294,12.12,3563.28,0.0,0.0,3563.28,677.02,4240.3
TRX-000028,2022-01-08,2022,1,Q1,AntibioMax 500,Antibiotico,Capsula,LOTE-21435,2023-08-25,BioHazard Supplies,Mixcoatl,South,Online,Débito,Cancelado,386,13.02,5025.72,0.0,0.0,5025.72,954.89,5980.61
TRX-000029,2022-01-08,2022,1,Q1,Neurovita Complex,Suplemento,Ampolla,LOTE-68686,2023-07-18,Spencer Labs,Terragrigia,South,Clínica Privada,Transferencia,Entregado,192,14.5,2784.0,0.1,278.4,2505.6,476.06,2981.66
TRX-000030,2022-01-08,2022,1,Q1,Aspirina 500mg,Analgesico,Tableta,LOTE-15969,2023-05-06,BioHazard Supplies,Arklay County,Midwest,Hospital Público,Efectivo,Cancelado,444,2.26,1003.44,0.0,0.0,1003.44,190.65,1194.09
TRX-000031,2022-01-09,2022,1,Q1,CalmEase 10mg,Sedante,Tableta,LOTE-27657,2023-08-25,Paraguas Distribuciones,Mixcoatl,South,Clínica Privada,Transferencia,Entregado,277,8.27,2290.79,0.0,0.0,2290.79,435.25,2726.04
TRX-000032,2022-01-09,2022,1,Q1,CalmEase 10mg,Sedante,Tableta,LOTE-77868,2024-01-31,BioHazard Supplies,Edonia,Europe,Clínica Privada,Débito,Cancelado,161,9.29,1495.69,0.1,149.57,1346.12,255.76,1601.88
TRX-000033,2022-01-10,2022,1,Q1,ThermoShield,Antipiretico,Jarabe,LOTE-44313,2024-04-08,Umbrella Pharma S.A.,Mixcoatl,South,Farmacia Minorista,Cheque,Entregado,460,7.72,3551.2,0.15,532.68,3018.52,573.52,3592.04
